state,state_code,dayspostlegal,distance,income,legal,month,ppg,quality_score,quantity,year
Colorado,8,15,2387.7419,46402,1,11,10.0,3,1.0,2012
Colorado,8,-42,2387.7419,46402,0,9,6.5256829000000005,2,28.349524,2012
Colorado,8,47,2230.3601,46402,1,12,6.3493133,3,28.349524,2012
Colorado,8,-11,2387.7419,46402,0,10,9.876709,3,14.174762,2012
Colorado,8,34,2230.3601,46402,1,12,9.876709,2,3.5436904,2012
Colorado,8,-81,2162.062,46402,0,8,10.021011,2,4.9895163,2012
Colorado,8,22,2343.937,46402,1,11,7.0547924,3,7.087380900000001,2012
Colorado,8,31,2387.7419,46402,1,12,2.1164377,3,28.349524,2012
Colorado,8,-52,2443.0171,46402,0,9,3.5273962,2,28.349524,2012
Colorado,8,-84,2220.031,46402,0,8,8.818489999999999,2,28.349524,2012
Colorado,8,-241,2262.7981,46402,0,3,14.109585000000001,2,3.5436904,2012
Colorado,8,-142,2230.3601,46402,0,6,10.021011,3,4.9895163,2012
Colorado,8,-133,2343.937,46402,0,6,10.021011,2,4.9895163,2012
Colorado,8,-101,1751.839,46402,0,7,7.4075317,2,28.349524,2012
Colorado,8,-70,2343.937,46402,0,8,14.109585000000001,3,3.5436904,2012
Colorado,8,17,2387.7419,46402,1,11,3.5273962,3,28.349524,2012
Colorado,8,-99,2398.0791,46402,0,7,14.109585000000001,3,7.087380900000001,2012
Colorado,8,25,2387.7419,46402,1,11,3.5273962,2,28.349524,2012
Colorado,8,-246,2230.3601,46402,0,2,2.0042023999999996,1,4.9895163,2012
Colorado,8,9,2239.8069,46402,1,11,6.012607099999999,3,4.9895163,2012
Colorado,8,29,2343.937,46402,1,11,7.0547924,3,28.349524,2012
Colorado,8,34,2323.335,46402,1,12,10.582189,3,28.349524,2012
Colorado,8,27,2387.7419,46402,1,11,1.7636981,2,28.349524,2012
Colorado,8,-127,2387.7419,46402,0,6,8.818489999999999,3,28.349524,2012
Colorado,8,6,2343.937,46402,1,11,17.636979999999998,2,28.349524,2012
Colorado,8,48,2387.7419,46402,1,12,7.0547924,3,28.349524,2012
Colorado,8,9,2387.7419,46402,1,11,11.287666999999999,3,3.5436904,2012
Colorado,8,-114,2339.0271,46402,0,7,7.0547924,2,28.349524,2012
Colorado,8,6,2343.937,46402,1,11,10.582189,2,28.349524,2012
Colorado,8,37,2025.118,46402,1,12,7.7602715,3,28.349524,2012
Colorado,8,24,2343.937,46402,1,11,9.876709,3,3.5436904,2012
Colorado,8,-49,2387.7419,46402,0,9,12.025214,3,4.9895163,2012
Colorado,8,-27,2339.0271,46402,0,10,15.661639000000001,3,7.087380900000001,2012
Colorado,8,38,2387.7419,46402,1,12,14.109585000000001,2,3.5436904,2012
Colorado,8,-214,2230.3601,46402,0,4,1.7636981,2,28.349524,2012
Colorado,8,-48,2323.335,46402,0,9,10.0,2,1.0,2012
Colorado,8,-23,2387.7419,46402,0,10,12.698627,3,3.5436904,2012
Colorado,8,-61,2387.7419,46402,0,9,9.876709,2,3.5436904,2012
Colorado,8,-279,2387.7419,46402,0,1,3.5273962,2,28.349524,2012
Colorado,8,48,2343.937,46402,1,12,9.876709,3,7.087380900000001,2012
Colorado,8,9,2268.8831,46402,1,11,3.5273962,3,28.349524,2012
Colorado,8,-61,2387.7419,46402,0,9,20.042023,2,4.9895163,2012
Colorado,8,-99,2323.335,46402,0,7,9.992624300000001,3,10.007381,2012
Colorado,8,42,2432.855,46402,1,12,3.5273962,2,28.349524,2012
Colorado,8,-91,2343.937,46402,0,8,17.636979999999998,2,28.349524,2012
Colorado,8,17,2387.7419,46402,1,11,8.4657507,3,28.349524,2012
Colorado,8,-4,2343.937,46402,0,10,7.0547924,3,28.349524,2012
Colorado,8,-145,2382.1731,46402,0,6,8.4657507,3,3.5436904,2012
Colorado,8,-112,2343.937,46402,0,7,6.3493133,3,28.349524,2012
Colorado,8,-82,2230.3601,46402,0,8,7.0547924,3,3.5436904,2012
Colorado,8,-143,2443.0171,46402,0,6,8.0168095,2,4.9895163,2012
Colorado,8,-27,2300.5559,46402,0,10,14.109585000000001,2,3.5436904,2012
Colorado,8,-57,2197.208,46402,0,9,11.287666999999999,2,3.5436904,2012
Colorado,8,-9,2230.3601,46402,0,10,5.2910943,2,28.349524,2012
Colorado,8,52,2064.5549,46402,1,12,3.5273962,3,28.349524,2012
Colorado,8,-103,2400.217,46402,0,7,28.219170000000002,3,7.087380900000001,2012
Colorado,8,-62,2343.937,46402,0,8,7.7602715,2,14.174762,2012
Colorado,8,-258,2400.217,46402,0,2,13.027315,3,4.9895163,2012
Colorado,8,-89,2387.7419,46402,0,8,1.9985248,2,10.007381,2012
